utterance_id,model,reference,hypothesis,standard_wer,lattice_wer,wer_delta,lattice
825780-seg1,Model-A,उनकी जनसंख्या बहुत कम दी जा रही है,उनकी जनसंख्या बहुत कम दी जा रही है,0.0,0.0,0.0,उनकी जनसंख्या [बहुत|बोहोत] कम दी जा रही [है|हैं]
825780-seg1,Model-B,उनकी जनसंख्या बहुत कम दी जा रही है,उनकी जनसंख्या बोहोत कम दी जा रही है,12.5,0.0,-12.5,उनकी जनसंख्या [बहुत|बोहोत] कम दी जा रही [है|हैं]
825780-seg1,Model-C,उनकी जनसंख्या बहुत कम दी जा रही है,उनकी जनसंख्या बहुत कम दी जा रहि है,12.5,12.5,0.0,उनकी जनसंख्या [बहुत|बोहोत] कम दी जा रही [है|हैं]
825780-seg1,Model-D,उनकी जनसंख्या बहुत कम दी जा रही है,उनकी जनसंख्या बहुत कम दी जा रही,12.5,12.5,0.0,उनकी जनसंख्या [बहुत|बोहोत] कम दी जा रही [है|हैं]
825780-seg1,Model-E,उनकी जनसंख्या बहुत कम दी जा रही है,उनकी आबादी बहुत कम दी जा रही है,12.5,12.5,0.0,उनकी जनसंख्या [बहुत|बोहोत] कम दी जा रही [है|हैं]
825780-seg2,Model-A,हम वहां गया थे कुड़रमा घाटी तरफ,हम वहां गया थे कुड़रमा घाटी तरफ,0.0,0.0,0.0,हम [वहाँ|वहां] गया थे कुड़रमा घाटी तरफ
825780-seg2,Model-B,हम वहां गया थे कुड़रमा घाटी तरफ,हम वहाँ गया थे कुड़रमा घाटी तरफ,14.29,0.0,-14.29,हम [वहाँ|वहां] गया थे कुड़रमा घाटी तरफ
825780-seg2,Model-C,हम वहां गया थे कुड़रमा घाटी तरफ,हम वहां गए थे कुड़रमा घाटी तरफ,14.29,14.29,0.0,हम [वहाँ|वहां] गया थे कुड़रमा घाटी तरफ
825780-seg2,Model-D,हम वहां गया थे कुड़रमा घाटी तरफ,हम वहां गया था कुड़रमा घाटी तरफ,14.29,14.29,0.0,हम [वहाँ|वहां] गया थे कुड़रमा घाटी तरफ
825780-seg2,Model-E,हम वहां गया थे कुड़रमा घाटी तरफ,हम वहां गया थे कुडरमा घाटी तरफ,14.29,14.29,0.0,हम [वहाँ|वहां] गया थे कुड़रमा घाटी तरफ
825780-seg3,Model-A,हमने मिस्टेक किए कि हम लाइट नहीं ले गए थे,हमने मिस्टेक किए कि हम लाइट नहीं ले गए थे,0.0,0.0,0.0,हमने मिस्टेक किए कि हम लाइट [नही|नहीं] ले गए थे
825780-seg3,Model-B,हमने मिस्टेक किए कि हम लाइट नहीं ले गए थे,हमने mistake किए कि हम लाइट नहीं ले गए थे,10.0,10.0,0.0,हमने मिस्टेक किए कि हम लाइट [नही|नहीं] ले गए थे
825780-seg3,Model-C,हमने मिस्टेक किए कि हम लाइट नहीं ले गए थे,हमने मिस्टेक किया कि हम लाइट नहीं ले गए थे,10.0,10.0,0.0,हमने मिस्टेक किए कि हम लाइट [नही|नहीं] ले गए थे
825780-seg3,Model-D,हमने मिस्टेक किए कि हम लाइट नहीं ले गए थे,हमने मिस्टेक किए कि हम light नहीं ले गए थे,10.0,10.0,0.0,हमने मिस्टेक किए कि हम लाइट [नही|नहीं] ले गए थे
825780-seg3,Model-E,हमने मिस्टेक किए कि हम लाइट नहीं ले गए थे,हमने गलती की कि हम लाइट नहीं ले गए थे,20.0,20.0,0.0,हमने मिस्टेक किए कि हम लाइट [नही|नहीं] ले गए थे
825780-seg4,Model-A,उसने चौदह किताबें खरीदीं,उसने चौदह किताबें खरीदीं,0.0,0.0,0.0,उसने [14|चौदह] किताबें [खरीदी|खरीदीं|ख़रीदीं]
825780-seg4,Model-B,उसने चौदह किताबें खरीदीं,उसने 14 किताबें खरीदीं,25.0,0.0,-25.0,उसने [14|चौदह] किताबें [खरीदी|खरीदीं|ख़रीदीं]
825780-seg4,Model-C,उसने चौदह किताबें खरीदीं,उसने चौदह पुस्तकें खरीदीं,25.0,25.0,0.0,उसने [14|चौदह] किताबें [खरीदी|खरीदीं|ख़रीदीं]
825780-seg4,Model-D,उसने चौदह किताबें खरीदीं,उसने चौदह किताबें खरीदी,25.0,0.0,-25.0,उसने [14|चौदह] किताबें [खरीदी|खरीदीं|ख़रीदीं]
825780-seg4,Model-E,उसने चौदह किताबें खरीदीं,उसने चौदह किताबे खरीदी,50.0,25.0,-25.0,उसने [14|चौदह] किताबें [खरीदी|खरीदीं|ख़रीदीं]
825780-seg5,Model-A,जब रात की बारी आई तो हमने टेंट गड़ा,जब रात की बारी आई तो हमने टेंट गड़ा,0.0,0.0,0.0,जब रात की बारी आई तो हमने [tent|टेंट] गड़ा
825780-seg5,Model-B,जब रात की बारी आई तो हमने टेंट गड़ा,जब रात की बारी आई तो हमने tent गड़ा,11.11,0.0,-11.11,जब रात की बारी आई तो हमने [tent|टेंट] गड़ा
825780-seg5,Model-C,जब रात की बारी आई तो हमने टेंट गड़ा,जब रात की बारी आई तो हमने टेंट गाड़ा,11.11,11.11,0.0,जब रात की बारी आई तो हमने [tent|टेंट] गड़ा
825780-seg5,Model-D,जब रात की बारी आई तो हमने टेंट गड़ा,जब रात की बारी आई हमने टेंट गड़ा,11.11,11.11,0.0,जब रात की बारी आई तो हमने [tent|टेंट] गड़ा
825780-seg5,Model-E,जब रात की बारी आई तो हमने टेंट गड़ा,जब रात की बारी आई तो हमने कैम्प लगाया,22.22,22.22,0.0,जब रात की बारी आई तो हमने [tent|टेंट] गड़ा
