raw,number_norm,english_tagged,english_words
अब काफी अच्छा होता है क्योंकि उनकी जनसंख्या बहुत कम दी जा रही है तो हमें उनको देखना था तो एक देखना था मतलब वो तो देखना था लेकिन हमारा प्रोजेक्ट भी था कि जो जन जाती पाई जाती है उधर कि उधर की एरिया में उसके बारे में देखना अब,अब काफी अच्छा होता है क्योंकि उनकी जनसंख्या बहुत कम दी जा रही है तो हमें उनको देखना था तो 1 देखना था मतलब वो तो देखना था लेकिन हमारा प्रोजेक्ट भी था कि जो जन जाती पाई जाती है उधर कि उधर की एरिया में उसके बारे में देखना अब,अब काफी अच्छा होता है क्योंकि उनकी जनसंख्या बहुत कम दी जा रही है तो हमें उनको देखना था तो 1 देखना था मतलब वो तो देखना था लेकिन हमारा [EN]प्रोजेक्ट[/EN] भी था कि जो जन जाती पाई जाती है उधर कि उधर की [EN]एरिया[/EN] में उसके बारे में देखना अब,"['प्रोजेक्ट', 'एरिया']"
अनुभव करके कुछ लिखना था तो वह तो बिना देखिए नहीं हो सकती थी तो हम वहां गया थे कुड़रमा घाटी तरफ पर दिवोग काफी जंगली एरिया है वह जो खांड जनजाति पाए जाती ना वहां पाए जाती है तो,अनुभव करके कुछ लिखना था तो वह तो बिना देखिए नहीं हो सकती थी तो हम वहां गया थे कुड़रमा घाटी तरफ पर दिवोग काफी जंगली एरिया है वह जो खांड जनजाति पाए जाती ना वहां पाए जाती है तो,अनुभव करके कुछ लिखना था तो वह तो बिना देखिए नहीं हो सकती थी तो हम वहां गया थे कुड़रमा घाटी तरफ पर दिवोग काफी जंगली [EN]एरिया[/EN] है वह जो खांड जनजाति पाए जाती ना वहां पाए जाती है तो,['एरिया']
जंगल का सफर होता है जब हम रहने के लिए गए थे नातो चाहते के साथ जैसे हम वहाँ पहले एंटर किये थे तो पहले तो गिर गया थे लगड़ा के उपर से नीचे,जंगल का सफर होता है जब हम रहने के लिए गए थे नातो चाहते के साथ जैसे हम वहाँ पहले एंटर किये थे तो पहले तो गिर गया थे लगड़ा के उपर से नीचे,जंगल का सफर होता है जब हम रहने के लिए गए थे नातो चाहते के साथ जैसे हम वहाँ पहले एंटर किये थे तो पहले तो गिर गया थे लगड़ा के उपर से नीचे,[]
पहली बारी था क्योंकि चलना नहीं आता न वहाँ का जो लैंड एरिया होता है इधर उधर काफी इधर जाओ तो उधर लुढ़क जाओगे,पहली बारी था क्योंकि चलना नहीं आता न वहाँ का जो लैंड एरिया होता है इधर उधर काफी इधर जाओ तो उधर लुढ़क जाओगे,पहली बारी था क्योंकि चलना नहीं आता न वहाँ का जो लैंड [EN]एरिया[/EN] होता है इधर उधर काफी इधर जाओ तो उधर लुढ़क जाओगे,['एरिया']
हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया। जब रात की बारी आई तो हमने टेंट गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब छै सात में इतना,हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया। जब रात की बारी आई तो हमने टेंट गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब छै 7 में इतना,हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया। जब रात की बारी आई तो हमने [EN]टेंट[/EN] गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब छै 7 में इतना,['टेंट']
अजीब सा आवाज आने लगा बहुत अजीब सा डर तो इतना लगा था कि अगर कोई आता तो हम टैंट उखाड़ ही बाग जाते लेकिन कुछ आया नहीं ऐसा कुछ हुआ नहीं,अजीब सा आवाज आने लगा बहुत अजीब सा डर तो इतना लगा था कि अगर कोई आता तो हम टैंट उखाड़ ही बाग जाते लेकिन कुछ आया नहीं ऐसा कुछ हुआ नहीं,अजीब सा आवाज आने लगा बहुत अजीब सा डर तो इतना लगा था कि अगर कोई आता तो हम टैंट उखाड़ ही बाग जाते लेकिन कुछ आया नहीं ऐसा कुछ हुआ नहीं,[]
डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना कैम्प डाल के रह रहा था और हम अकेली थे क्योंकि हमें बहुत सारा प्रोजेक्ट लिखना था तो हम अकेली बैठे थे कि मुझे करनी भी तो है न क्योंकि वहाँ घूमने तो गए नहीं थे और तो,डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना कैम्प डाल के रह रहा था और हम अकेली थे क्योंकि हमें बहुत सारा प्रोजेक्ट लिखना था तो हम अकेली बैठे थे कि मुझे करनी भी तो है न क्योंकि वहाँ घूमने तो गए नहीं थे और तो,डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना [EN]कैम्प[/EN] डाल के रह रहा था और हम अकेली थे क्योंकि हमें बहुत सारा [EN]प्रोजेक्ट[/EN] लिखना था तो हम अकेली बैठे थे कि मुझे करनी भी तो है न क्योंकि वहाँ घूमने तो गए नहीं थे और तो,"['कैम्प', 'प्रोजेक्ट']"
ऐसा ही बात था तो पता है रात को मतलब जैसे छः सात आठ किलोमीटर में नौ बजे है नौ उसके बाद लेकिन शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो सुबह उठते हैं तो ये काम करो वो काम करो तो,ऐसा ही बात था तो पता है रात को मतलब जैसे 21 किलोमीटर में 9 बजे है 9 उसके बाद लेकिन शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो सुबह उठते हैं तो ये काम करो वो काम करो तो,ऐसा ही बात था तो पता है रात को मतलब जैसे 21 किलोमीटर में 9 बजे है 9 उसके बाद लेकिन शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो सुबह उठते हैं तो ये काम करो वो काम करो तो,[]
लगता है कि सर सुबह हो गया लेकिन कोई उठाने वाला नहीं था पता आराम से सो रहे थे सुबह दस बज गया था और जो जन जाती हैं हमने हां सुना है कि वहां की खंड जन जाती पाए जाती है तो पता ऐसे,लगता है कि सर सुबह हो गया लेकिन कोई उठाने वाला नहीं था पता आराम से सो रहे थे सुबह 10 बज गया था और जो जन जाती हैं हमने हां सुना है कि वहां की खंड जन जाती पाए जाती है तो पता ऐसे,लगता है कि सर सुबह हो गया लेकिन कोई उठाने वाला नहीं था पता आराम से सो रहे थे सुबह 10 बज गया था और जो जन जाती हैं हमने हां सुना है कि वहां की खंड जन जाती पाए जाती है तो पता ऐसे,[]
हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है तो वह मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे। अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया टेंट से बाहर उखाड़ मतलब उखाड़ कर हाँ,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है तो वह मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे। अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया टेंट से बाहर उखाड़ मतलब उखाड़ कर हाँ,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है तो वह मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे। अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया [EN]टेंट[/EN] से बाहर उखाड़ मतलब उखाड़ कर हाँ,['टेंट']
