word,label,confidence,score,reason
रात,correct spelling,HIGH,0.98,found in dictionary
था,correct spelling,HIGH,0.98,found in dictionary
अंकल,correct spelling,HIGH,0.98,found in dictionary
प्रोजेक्ट,correct spelling,HIGH,0.98,found in dictionary
हो,correct spelling,HIGH,0.98,found in dictionary
लगता,correct spelling,HIGH,0.98,found in dictionary
बदक,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -4.11"
कि,correct spelling,HIGH,0.98,found in dictionary
जाने,correct spelling,MEDIUM,0.8,valid stem+suffix
मिस्टेक,correct spelling,HIGH,0.98,found in dictionary
रहा,correct spelling,HIGH,0.98,found in dictionary
जाते,correct spelling,HIGH,0.98,found in dictionary
आराम,correct spelling,HIGH,0.98,found in dictionary
रहने,correct spelling,HIGH,0.98,found in dictionary
पे,correct spelling,HIGH,0.98,found in dictionary
छोड़,correct spelling,HIGH,0.98,found in dictionary
मेको,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -3.32"
पता,correct spelling,HIGH,0.98,found in dictionary
अराम,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -3.11"
सुकुन,correct spelling,HIGH,0.98,found in dictionary
साथ,correct spelling,HIGH,0.98,found in dictionary
वह,correct spelling,HIGH,0.98,found in dictionary
वहा,correct spelling,MEDIUM,0.8,valid stem+suffix
दिए,correct spelling,HIGH,0.98,found in dictionary
रह,correct spelling,HIGH,0.98,found in dictionary
सकती,correct spelling,HIGH,0.98,found in dictionary
सब,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -4.20"
जंगल,correct spelling,HIGH,0.98,found in dictionary
करो,correct spelling,HIGH,0.98,found in dictionary
कैसे,incorrect spelling,MEDIUM,0.11166704957540083,"not in dict, no morphology, LM -2.38"
बात,correct spelling,HIGH,0.98,found in dictionary
का,correct spelling,HIGH,0.98,found in dictionary
काम,correct spelling,HIGH,0.98,found in dictionary
आती,incorrect spelling,MEDIUM,0.05344846483410215,"not in dict, no morphology, LM -2.97"
बीत,correct spelling,HIGH,0.98,found in dictionary
दी,correct spelling,HIGH,0.98,found in dictionary
हां,correct spelling,HIGH,0.98,found in dictionary
सर,correct spelling,HIGH,0.98,found in dictionary
छोड़ने,correct spelling,MEDIUM,0.8,valid stem+suffix
आने,correct spelling,HIGH,0.98,found in dictionary
जंगली,correct spelling,HIGH,0.98,found in dictionary
पटक,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -4.17"
आवाज,correct spelling,HIGH,0.98,found in dictionary
नीचे,correct spelling,HIGH,0.98,found in dictionary
वाला,correct spelling,HIGH,0.98,found in dictionary
पाई,correct spelling,HIGH,0.98,found in dictionary
भर,correct spelling,HIGH,0.98,found in dictionary
हमें,correct spelling,HIGH,0.98,found in dictionary
समझ,incorrect spelling,MEDIUM,0.06272266554547545,"not in dict, no morphology, LM -2.87"
बज,correct spelling,HIGH,0.98,found in dictionary
जाएंगे,correct spelling,HIGH,0.98,found in dictionary
जी,correct spelling,HIGH,0.98,found in dictionary
को,correct spelling,HIGH,0.98,found in dictionary
लहरा,correct spelling,HIGH,0.98,found in dictionary
एक,correct spelling,HIGH,0.98,found in dictionary
सुबह,correct spelling,HIGH,0.98,found in dictionary
आपको,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -3.16"
बाहर,correct spelling,HIGH,0.98,found in dictionary
उठे,incorrect spelling,MEDIUM,0.06227692445181354,"not in dict, no morphology, LM -2.88"
गया,correct spelling,HIGH,0.98,found in dictionary
अमेजन,correct spelling,HIGH,0.98,found in dictionary
हूं,correct spelling,HIGH,0.98,found in dictionary
मतलब,correct spelling,HIGH,0.98,found in dictionary
बाहरी,correct spelling,HIGH,0.98,found in dictionary
रहे,correct spelling,HIGH,0.98,found in dictionary
लैंड,correct spelling,HIGH,0.98,found in dictionary
ने,correct spelling,HIGH,0.98,found in dictionary
क्योंकि,correct spelling,HIGH,0.98,found in dictionary
दिवोग,correct spelling,HIGH,0.98,found in dictionary
लाइट,correct spelling,HIGH,0.98,found in dictionary
लोग।,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -3.18"
नातो,correct spelling,HIGH,0.98,found in dictionary
जाती,correct spelling,HIGH,0.98,found in dictionary
नहीं।,incorrect spelling,LOW,0.04172003838005384,"not in dict, no morphology, LM -3.08"
सफर,correct spelling,HIGH,0.98,found in dictionary
गिर,correct spelling,HIGH,0.98,found in dictionary
उधर,correct spelling,HIGH,0.98,found in dictionary
टेंट,correct spelling,HIGH,0.98,found in dictionary
नौ,correct spelling,HIGH,0.98,found in dictionary
खतरा,correct spelling,HIGH,0.98,found in dictionary
बहुत,correct spelling,HIGH,0.98,found in dictionary
छः,correct spelling,HIGH,0.98,found in dictionary
आता,correct spelling,HIGH,0.98,found in dictionary
हुआ,correct spelling,HIGH,0.98,found in dictionary
उसके,correct spelling,HIGH,0.98,found in dictionary
कोई,correct spelling,HIGH,0.98,found in dictionary
इतना,correct spelling,HIGH,0.98,found in dictionary
लगड़ा,correct spelling,HIGH,0.98,found in dictionary
हम,correct spelling,HIGH,0.98,found in dictionary
अब,correct spelling,HIGH,0.98,found in dictionary
में,correct spelling,HIGH,0.98,found in dictionary
हाँ,correct spelling,HIGH,0.98,found in dictionary
पाए,correct spelling,HIGH,0.98,found in dictionary
रोड,correct spelling,HIGH,0.98,found in dictionary
पर,correct spelling,HIGH,0.98,found in dictionary
उखाड़,incorrect spelling,LOW,0.04,"not in dict, no morphology, LM -3.32"
जाओ,correct spelling,HIGH,0.98,found in dictionary
